"review_id","user_id","location_id","rating","comment","like_count","created_at","is_visible","deleted_at"
1,4,111,2,"test",0,"2026-04-01 17:39:33",0,"2026-04-03 16:15:02"
2,7,111,4,"",1,"2026-04-01 17:50:31",1,""
3,4,282,5,"Gorgeous location, a little busy when I went but overall had a lovely time!",0,"2026-04-02 10:13:54",1,""
4,4,147,5,"I always find myself coming back to these hotels. They're consistently amazing every time!
",0,"2026-04-02 10:14:28",1,""
5,9,1,5,"Absolutely massive — you could spend an entire day here and still miss things. The Egyptian section and Rosetta Stone were highlights. It can get crowded, but entry being free makes it even better.",0,"2026-04-12 16:04:46",1,""
6,9,2,5,"Really interesting mix of history and storytelling, especially with the Yeoman Warders. The Crown Jewels were impressive but very busy. Worth going early to avoid the crowds.",2,"2026-04-12 16:05:14",1,""
7,9,6,4,"Great views of London, especially on a clear day. The ride itself is smooth and relaxing. A bit expensive for what it is, but still a nice experience.",1,"2026-04-12 16:05:52",1,""
8,9,85,5,"Stunning architecture and full of history at every turn. Walking through such an iconic place felt surreal. Audio guide was really helpful for context.",0,"2026-04-12 16:06:15",1,""
9,9,84,4,"A must-see landmark, especially for first-time visitors. The Changing of the Guard was interesting but quite crowded. Best enjoyed from a distance unless you're very early.",0,"2026-04-12 16:06:37",1,""
10,9,87,5,"One of the most iconic views in London. Walking across the bridge was great, and the glass floor inside was a fun surprise. Perfect spot for photos.",0,"2026-04-12 16:07:03",1,""
11,9,115,4,"Lovely escape from the busy city. Plenty of space to walk, relax, or just sit by the water. Great atmosphere, especially on a sunny day.",1,"2026-04-12 16:07:20",1,""
12,7,27,4,"Beautiful and very well maintained. The State Apartments were incredibly detailed, and St George’s Chapel was a highlight. Slightly pricey but worth it.",0,"2026-04-12 16:08:14",1,""
13,7,11,5,"Incredible views over the city and loads of history packed into one place. The Crown Jewels and the One O’Clock Gun were highlights. Can get quite busy during peak times.",0,"2026-04-12 16:08:36",1,""
14,7,28,5,"Really interactive and fun, especially with the live shows and exhibits. Feels more like an experience than just a historical site. Great for a full day out.",0,"2026-04-12 16:08:55",1,""
15,13,3,4,"The alice in wonderland exhibition was great, but the rest of the museum is less engaging",0,"2026-04-14 14:59:52",1,""
16,13,7,5,"Views are lovely",0,"2026-04-14 15:01:39",1,""
17,14,69,1,"I love Dishoom the food is so yummy and the atmosphere was so good ",1,"2026-04-17 16:33:30",1,""
18,14,7,5,"The views were beautiful and a great place to have a rest in a busy London day ",1,"2026-04-17 16:42:34",1,""
19,14,83,4,"My favourite food influencer spill the t recommended this to me and I love it so much however it is quite pricey",0,"2026-04-17 16:43:22",1,""
20,14,6,4,"A must for any London visit. The views of London were gorgeous I felt like I got to see everything. It went at a good speed but was over too soon. In such a great location. ",0,"2026-04-17 16:44:37",1,""
21,15,62,4,"Very lovely place. I visit every time I’m in London to enjoy a cosy, truly British setting with a delicious and refined afternoon tea. For me, it’s a must-visit spot in the city - and I’ve been to quite a few places. Always a great tea time and such a fun experience.

The only downside is that it can get quite busy, so service can feel a little rushed at times—but overall still a great experience.",0,"2026-04-17 20:03:33",1,""
22,15,53,1,"Awful experience from start to finish - completely not worth the money. The spa felt run down and poorly maintained, the food was inedible, and the service was cold and unhelpful. We left feeling frustrated and disappointed rather than relaxed. Would definitely avoid. Would rate 0 stars if I could.",0,"2026-04-17 20:07:59",1,""
23,15,69,3,"Too crowded, too successful, too trendy, too pretentious -to be good. Food was okay but waiting time was too long.",0,"2026-04-17 20:31:27",1,""
24,15,155,4,"Fun day out, a bit pricey.",0,"2026-04-17 20:36:27",1,""
25,4,387,5,"My absolute favourite place to visit when I'm in Bedford. I love the theme of this cafe, its unlike anything else nearby. Theres always a warm, cosy atmosphere and too many options for food and drinks to choose from. My absolute favourite is the lemongrass and ginger tea.
It's also quite a nice place to work or study and there are some sockets available but not many so I would recommend you check before you sit. 

If you want somewhere nice to take a break then I'd recommend this place!",1,"2026-04-18 14:51:05",1,""
26,2,391,3,"",0,"2026-04-19 16:53:05",1,""
28,13,4,3,"It's mainly a lot of dinosaurs which aren't actually the real skeletons ",0,"2026-04-19 17:06:50",1,""
29,13,5,1,"The weirdest museum I've been to. It's a stretch to call half of the things here art",0,"2026-04-19 17:08:05",1,""
30,13,87,5,"The coolest bridge in London",0,"2026-04-19 17:09:16",1,""
31,13,147,5,"I liked this hotel, although it felt quite small",1,"2026-04-19 17:11:33",1,""
32,13,392,5,"I love this place, the food is great",1,"2026-04-19 17:13:09",1,""
33,13,391,3,"Very stuffy in here and the food was quite basic",0,"2026-04-19 17:13:37",1,""
41,13,92,5,"Beautiful and worth it",0,"2026-04-19 17:16:12",1,""
42,13,103,5,"The most interesting museum I've been to",0,"2026-04-19 17:16:46",1,""
43,13,160,5,"Fun especially for children!",0,"2026-04-19 17:18:20",1,""
44,13,239,4,"A great shopping centre, has all the essential shops",0,"2026-04-19 17:18:54",1,""
45,13,285,5,"This place has the best escape rooms",0,"2026-04-19 17:19:24",1,""
46,13,260,5,"A great place to shop if you're sick of the city centre!",0,"2026-04-19 17:20:08",1,""
47,13,126,5,"My favourite department store",0,"2026-04-19 17:20:29",1,""
48,13,99,5,"A great place to get food, trinkets and clothes, but be prepared to spend a fortune",0,"2026-04-19 17:21:11",1,""
49,20,154,5,"Bets place ever to go, who doesn't love chocolate, will be going again",1,"2026-04-19 18:15:44",1,""
50,21,119,5,"The perfect change of scenery from the busy city life while still staying in London. 
The trails are well marked while still feeling wild. During the warm season, when everything is green and in bloom and all the deer are out (the wildlife being a highlight), it really feels like you are in Wales or Scotland, not in the loud busy streets of London. 
It is a go to for my family and I.",1,"2026-04-19 18:59:50",1,""
51,20,9,5,"Nice relaxing trip would go again",0,"2026-04-19 19:04:38",1,""
52,20,387,5,"A lovely relaxing environment, very quirky. The food was good and the staff were friendly and welcoming.",0,"2026-04-19 19:32:01",1,""
53,20,389,5,"Great place to take the kids and have a picnic or a walk through the woods",0,"2026-04-19 19:33:20",1,""
54,20,385,5,"Great day out, took my daughter for her birthday she loved it and wanted to stay longer.",0,"2026-04-19 19:35:12",1,""
55,23,318,5,"Emotional and very informative!! A must see for everyone. ",0,"2026-04-20 13:22:54",1,""
